date,price,open,high_price,low_price,volume,change_price
2023-03-31 00:00:00,"39,69","40,21","40,24","39,52","18,23M","-1,38%"
2023-03-30 00:00:00,"40,24","40,60","41,00","40,02","27,14M","-0,87%"
2023-03-29 00:00:00,"40,60","39,15","40,65","38,96","48,70M","3,70%"
2023-03-28 00:00:00,"39,15","39,45","39,75","38,91","17,02M","-0,62%"
2023-03-27 00:00:00,"39,40","38,99","39,48","38,92","20,95M","1,26%"
2023-03-24 00:00:00,"38,90","39,29","39,29","38,77","13,86M","-0,64%"
2023-03-23 00:00:00,"39,15","39,35","39,49","38,94","15,02M","-0,50%"
2023-03-22 00:00:00,"39,35","39,49","39,74","39,22","13,83M","-0,62%"
2023-03-21 00:00:00,"39,60","40,28","40,52","39,21","19,53M","-1,39%"
2023-03-20 00:00:00,"40,15","39,89","40,28","39,50","25,53M","0,66%"
2023-03-17 00:00:00,"39,89","40,26","40,92","39,43","32,37M","-0,89%"
2023-03-16 00:00:00,"40,25","40,87","40,87","39,66","29,93M","-1,59%"
2023-03-15 00:00:00,"40,90","41,28","41,61","40,60","12,44M","-0,92%"
2023-03-14 00:00:00,"41,28","41,50","41,50","40,75","13,33M","-0,57%"
2023-03-13 00:00:00,"41,51","42,12","42,67","41,01","24,48M","-1,41%"
2023-03-10 00:00:00,"42,11","41,17","42,27","41,01","22,62M","1,94%"
2023-03-09 00:00:00,"41,31","40,79","41,54","40,46","24,12M","1,59%"
2023-03-07 00:00:00,"40,67","40,08","40,87","39,60","19,41M","1,70%"
2023-03-06 00:00:00,"39,99","39,85","40,09","39,56","16,74M","0,77%"
2023-03-03 00:00:00,"39,68","38,89","39,68","38,74","9,96M","1,90%"
2023-03-02 00:00:00,"38,94","39,60","39,90","38,43","21,41M","-1,34%"
2023-03-01 00:00:00,"39,47","39,16","39,49","39,00","9,53M","1,02%"
2023-02-28 00:00:00,"39,07","39,21","39,51","38,90","11,01M","-0,06%"
2023-02-27 00:00:00,"39,10","38,65","39,37","38,31","14,42M","0,70%"
2023-02-24 00:00:00,"38,83","38,80","39,50","38,26","19,28M","0,06%"
2023-02-22 00:00:00,"38,80","38,31","38,90","38,00","18,47M","1,28%"
2023-02-21 00:00:00,"38,31","36,88","38,51","36,88","26,62M","4,02%"
2023-02-20 00:00:00,"36,83","36,33","37,25","35,81","14,35M","0,81%"
2023-02-17 00:00:00,"36,53","36,35","36,90","35,98","11,18M","0,52%"
2023-02-16 00:00:00,"36,35","35,83","36,73","35,81","13,97M","1,42%"
2023-02-15 00:00:00,"35,83","37,30","37,35","35,26","24,52M","-4,15%"
2023-02-14 00:00:00,"37,38","38,36","38,45","37,12","18,36M","-2,66%"
2023-02-13 00:00:00,"38,40","38,51","38,90","38,35","9,38M","-0,16%"
2023-02-10 00:00:00,"38,47","38,00","38,56","37,96","13,53M","0,85%"
2023-02-09 00:00:00,"38,14","37,60","38,47","37,56","11,61M","0,98%"
2023-02-08 00:00:00,"37,77","38,10","38,40","37,54","12,60M","-0,81%"
2023-02-07 00:00:00,"38,08","38,38","38,63","37,65","12,49M","-0,85%"
2023-02-06 00:00:00,"38,40","38,35","38,79","38,13","19,79M","0,71%"
2023-02-03 00:00:00,"38,13","37,88","38,49","37,21","24,11M","0,49%"
2023-02-02 00:00:00,"37,95","36,79","38,25","36,53","34,13M","3,46%"
2023-02-01 00:00:00,"36,68","36,00","36,83","35,90","20,40M","2,04%"
2023-01-31 00:00:00,"35,94","35,54","35,99","35,28","17,56M","1,35%"
2023-01-30 00:00:00,"35,47","34,40","35,49","34,19","26,99M","3,32%"
2023-01-27 00:00:00,"34,33","33,90","34,39","33,90","6,04M","1,15%"
2023-01-26 00:00:00,"33,94","34,03","34,08","33,76","4,39M","-0,15%"
2023-01-25 00:00:00,"33,99","33,87","34,04","33,60","6,28M","0,22%"
2023-01-24 00:00:00,"33,91","34,13","34,49","33,83","8,79M","-0,41%"
2023-01-23 00:00:00,"34,05","33,73","34,13","33,63","6,56M","0,80%"
2023-01-20 00:00:00,"33,78","33,99","34,15","33,51","12,12M","-0,62%"
2023-01-19 00:00:00,"33,99","34,49","34,56","33,87","8,03M","-1,46%"
2023-01-18 00:00:00,"34,49","34,10","34,69","34,08","7,56M","0,92%"
2023-01-17 00:00:00,"34,18","34,67","34,86","34,03","10,59M","-1,33%"
2023-01-16 00:00:00,"34,64","34,10","34,73","34,10","9,23M","1,66%"
2023-01-13 00:00:00,"34,08","33,80","34,40","33,56","8,26M","0,69%"
2023-01-12 00:00:00,"33,84","33,62","33,92","33,31","8,21M","0,68%"
2023-01-11 00:00:00,"33,61","33,30","33,74","33,18","8,51M","0,96%"
2023-01-10 00:00:00,"33,29","33,17","33,42","32,88","9,15M","0,09%"
2023-01-09 00:00:00,"33,26","33,55","33,55","33,14","7,42M","-0,30%"
2023-01-06 00:00:00,"33,36","33,10","33,44","33,01","3,46M","0,71%"
2023-01-05 00:00:00,"33,13","33,15","33,28","32,90","4,94M","-0,45%"
2023-01-04 00:00:00,"33,28","33,31","33,63","33,03","5,69M","-0,36%"
2023-01-03 00:00:00,"33,40","32,90","33,49","32,72","7,37M","1,61%"
2022-12-30 00:00:00,"32,87","32,25","32,97","32,12","11,05M","2,03%"
2022-12-29 00:00:00,"32,21","32,13","32,35","32,10","3,23M","0,22%"
2022-12-28 00:00:00,"32,14","32,03","32,40","31,82","8,62M","0,00%"
2022-12-27 00:00:00,"32,14","32,26","32,40","32,09","6,21M","0,20%"
2022-12-26 00:00:00,"32,08","31,85","32,13","31,80","6,85M","0,64%"
2022-12-23 00:00:00,"31,87","31,91","32,16","31,64","5,59M","-0,06%"
2022-12-22 00:00:00,"31,89","31,70","32,42","31,52","12,72M","0,13%"
2022-12-21 00:00:00,"31,85","32,53","32,79","31,25","30,60M","-1,88%"
2022-12-20 00:00:00,"32,46","32,95","34,20","32,30","58,10M","-1,43%"
2022-12-19 00:00:00,"32,93","31,60","33,15","31,51","25,96M","4,08%"
2022-12-16 00:00:00,"31,64","31,30","31,72","31,28","10,69M","0,94%"
2022-12-15 00:00:00,"31,34","31,76","31,84","31,05","19,81M","-1,88%"
2022-12-14 00:00:00,"31,94","32,21","32,27","31,77","8,97M","-0,79%"
2022-12-13 00:00:00,"32,20","31,88","32,33","31,48","27,49M","1,02%"
2022-12-12 00:00:00,"31,88","31,72","32,10","31,50","13,56M","1,03%"
2022-12-09 00:00:00,"31,55","31,75","31,96","31,34","14,73M","-0,28%"
2022-12-08 00:00:00,"31,64","31,25","31,86","31,10","21,77M","1,25%"
2022-12-07 00:00:00,"31,25","31,17","31,30","30,75","11,50M","0,14%"
2022-12-06 00:00:00,"31,20","31,28","31,42","31,08","6,85M","-0,08%"
2022-12-05 00:00:00,"31,23","31,31","31,66","31,03","11,46M","-0,03%"
2022-12-02 00:00:00,"31,24","31,55","31,62","31,05","10,52M","-0,87%"
2022-12-01 00:00:00,"31,51","31,65","31,77","31,41","8,49M","-0,16%"
2022-11-30 00:00:00,"31,57","31,66","31,99","31,18","20,67M","-0,11%"
